tierspol,tierspol,True,1.0,1.0,1.0,1.0,1.0
.P.H.U. "ADAM" ,.P.H.U. "ADAM" ,True,1.0,1.0,1.0,1.0,1.0
Instalbud Garden,Instalbud Garden,True,1.0,1.0,1.0,1.0,1.0
Private Finance Sp z o.o.,Private Finance Sp z o.o.,True,1.0,1.0,1.0,1.0,1.0
Tania Jazda,Tania Jazda,True,1.0,1.0,1.0,1.0,1.0
P.H.U.  RICONEX,p.h.u.ricconex,False,0.26666666666666666,0.2,0.47142857142857136,0.47142857142857136,0.06896551724137931
Autokor ,Autokor ,True,1.0,1.0,1.0,1.0,1.0
Eco-para Mobilna Myjnia Parowa,Eco-para Mobilna Myjnia Parowa,True,1.0,1.0,1.0,1.0,1.0
NZOZ Medi-med.,NZOZ Medi-med.,True,1.0,1.0,1.0,1.0,1.0
CENTRUM MEDYCZNE PANEWNIKI,CENTRUM MEDYCZNE PANEWNIKI,True,1.0,1.0,1.0,1.0,1.0
Logistyka medyczna Logmed,Logistyka medyczna Logmed,True,1.0,1.0,1.0,1.0,1.0
PRESBUD,presbud,False,0.0,0.0,0,0.0,0.0
SECURITY SERVICE £ódzka Agencja Ochrony Mienia,SECURITYSERVICE£ódzkaAgencjaOchronyMienia,False,0.2826086956521739,0.8913043478260869,0.9637681159420289,0.9927536231884058,0.9425287356321839
Tropiciel GPS - monitoring gps,Tropiciel GPS - monitoring gps,True,1.0,1.0,1.0,1.0,1.0
P.P.H.U. Autoloewen,P.P.H.U. Autoloewen,True,1.0,1.0,1.0,1.0,1.0
Autoryzowany Zak³ad Instalacji Alarmowych "ALERT",Autoryzowany Zak³ad Instalacji Alarmowych "ALERT",True,1.0,1.0,1.0,1.0,1.0
X Dystrybucja,XDystrybucja,False,0.15384615384615385,0.9230769230769231,0.9743589743589745,0.976923076923077,0.96
Security Car System - Systemy zabezpieczaj¹ce pojazdów,SECURITY CAR SYSTEM - SYSTEMY ZABEZPIECZAJ¥CE POJADÓW,False,0.2222222222222222,0.2037037037037037,0.3795078669292506,0.44155708023632556,0.18691588785046728
SECAR,SECAR,True,1.0,1.0,1.0,1.0,1.0
AUTOINSTAL,AUTOINSTAL,True,1.0,1.0,1.0,1.0,1.0
AUTO-ELEKTRO Marek Po³omski,AUTO-ELEKTRO Marek Po³omski,True,1.0,1.0,1.0,1.0,1.0
Auto-Alarm Janusz Niedzia³ek,Auto-Alarm Janusz Niedzia³ek,True,1.0,1.0,1.0,1.0,1.0
IRENE & MOPAR Auta na gaz,IRENE & MOPAR Auta na gaz,True,1.0,1.0,1.0,1.0,1.0
Autodiagnostyka i elektromechanika Janusz Suchanecki,Autodiagnostyka i elektromechanika Janusz Suchanecki,True,1.0,1.0,1.0,1.0,1.0
DAZ-TRONIK s.c.,DAZ-TRONI s.c.,False,0.6666666666666666,0.9333333333333333,0.9777777777777779,0.9977777777777778,0.9655172413793104
Zak³ad Us³ugowo-Handlowy Kropek Micha³ Kropiñski,Zak³ad Us³ugowo-Handlowy Kropek MicIha³ Kropiñski,False,0.7346938775510204,0.9800083298625574,0.9931972789115647,1.0170068027210881,0.9896907216494846
AutoBlok alarmy blokady,AutoBlok alarmy blokady,True,1.0,1.0,1.0,1.0,1.0
Ancar ZHU Adam Niedzielski,Ancar ZHU Adam Niedzielski,True,1.0,1.0,1.0,1.0,1.0
VE Systems,VESystems,False,0.3,0.9,0.9666666666666667,0.9733333333333334,0.9473684210526315
NQ-SYSTEM - Awaryjne otwieranie dzrzwi samochodowych i zamków,NQ-SYSTEM - Awaryjne otwieranie dzrzwi samochodowych i zamków,True,1.0,1.0,1.0,1.0,1.0
Ars-Alarm,Ars-Alam,False,0.8888888888888888,0.8888888888888888,0.9629629629629629,0.9888888888888889,0.9411764705882353
Firma Us³ugowa Artur Wachnik Autoalarmy,Firma Us³ugowa Artur Wachnik Autoalarmy,True,1.0,1.0,1.0,1.0,1.0
Quasar Electronics,Quasar Electronics,True,1.0,1.0,1.0,1.0,1.0
